destinationProvince	mainCity	destinationDistrict
Sumatera Utara	Kab. Tapanuli Selatan	Dolok
Sumatera Utara	Kab. Simalungun	Dolok Batunanggar
Sumatera Utara	Kab. Serdang Bedagai	Dolok Masihul
Sumatera Utara	Kab. Serdang Bedagai	Dolok Merawan
Sumatera Utara	Kab. Simalungun	Dolok Panribuan
Sumatera Utara	Kab. Simalungun	Dolok Pardamean
Sumatera Utara	Kab. Humbang Hasudutan	Dolok Sanggul
Sumatera Utara	Kab. Padang Lawas Utara	Dolok Sigompulon
Sumatera Utara	Kab. Tapanuli Selatan	Dolok Sigompulon
Sumatera Utara	Kab. Simalungun	Dolok Silau
Jawa Timur	Kab. Madiun	Dolopo
Kepulauan Riau	Kota Tanjung Pinang	Dompak
Nusa Tenggara Barat	Kab. Dompu	Dompu
Sulawesi Tengah	Kab. Toli-Toli	Dondo
Nusa Tenggara Barat	Kab. Bima	Donggo
Jawa Timur	Kab. Trenggalek	Dongko
Jawa Timur	Kab. Malang	Donomulyo
Jawa Timur	Kab. Pacitan	Donorojo
Sulawesi Selatan	Kab. Soppeng	Donri Donri
Papua Barat	Kab. Teluk Bintuni	Door
Jawa Tengah	Kab. Pekalongan	Doro
Jawa Barat	Kab. Bogor	Dramaga
Jawa Timur	Kab. Probolinggo	Dringu
Jawa Timur	Kab.Gresik	Driyorejo
Sulawesi Selatan	Kab. Bone	Dua Boccoe
Sulawesi Selatan	Kab. Pinrang	Duampanua
Sulawesi Selatan	Kab. Sindenreng Rappang	Duapitue
Jawa Timur	Kab.Gresik	Duduk Sampeyan
Jawa Timur	Kota Surabaya	Dukuh Pakis
Jawa Tengah	Kab. Pati	Dukuhseti
Jawa Tengah	Kab. Tegal	Dukuhturi
Jawa Tengah	Kab. Tegal	Dukuhwaru
Jawa Timur	Kab.Gresik	Dukun
Jawa Tengah	Kab. Magelang	Dukun
Jawa Barat	Kab. Cirebon	Dukupuntang
Gorontalo	Kab. Boalemo	Dulupi
Riau	Kota Dumai	Dumai
Riau	Kota Dumai	Dumai Barat
Riau	Kota Dumai	Dumai Timur
Sulawesi Utara	Kab. Bolaang Mongondow	Dumoga Barat
Sulawesi Utara	Kab. Bolaang Mongondow	Dumoga Timur
Sulawesi Utara	Kab. Bolaang Mongondow	Dumoga Utara
Gorontalo	Kota Gorontalo	Dungingi
Jawa Timur	Kab. Sumenep	Dungkek
DKI Jakarta	Kota Administrasi Jakarta Timur	Duren Sawit
Jawa Timur	Kab. Trenggalek	Durenan
Riau	Kab. Bengkalis	Duri Mandau
Sulawesi Tenggara	Kab. Muna	Duruka Bone
Kalimantan Selatan	Kab. Barito Selatan	Dusun Hilir
Kalimantan Selatan	Kab. Barito Selatan	Dusun Selatan
Kalimantan Selatan	Kab. Barito Timur	Dusun Tengah
Kalimantan Selatan	Kab. Barito Timur	Dusun Timur
Kalimantan Selatan	Kab. Barito Selatan	Dusun Utara
Papua	Kab. Mappi	Edera
Nusa Tenggara Timur	Kab. Manggarai Timur	Elar
Papua	Kab. Merauke	Eligobel
Kalimantan Barat	Kab. Melawi	Ella Hilir
Kalimantan Barat	Kab. Kapuas Hulu	Embaloh Hilir
Kalimantan Barat	Kab. Kapuas Hulu	Embaloh Hulu
Kalimantan Barat	Kab. Kapuas Hulu	Embau
Kalimantan Barat	Kab. Kapuas Hulu	Empanang
Nusa Tenggara Barat	Kab. Sumbawa	Empang
Papua	Kab. Paniai	Enarotali
Nusa Tenggara Timur	Kab. Ende	Ende
Nusa Tenggara Timur	Kab. Ende	Ende Selatan
Nusa Tenggara Timur	Kab. Ende	Ende Tengah
Nusa Tenggara Timur	Kab. Ende	Ende Timur
Nusa Tenggara Timur	Kab. Ende	Ende Utara
Bengkulu	Kab. Bengkulu Utara	Enggano
Riau	Kab. Indragiri Hilir	Enok
Sulawesi Selatan	Kab. Enrekang	Enrekang
Sulawesi Selatan	Kab. Enrekang	Enrekang Selatan
Kalimantan Barat	Kab. Sanggau	Entikong
Sulawesi Selatan	Kab. Bantaeng	Eremerasa
Sulawesi Utara	Kab. Minahasa	Eris
Jawa Tengah	Kab. Wonogiri	Eromoko
Sulawesi Utara	Kab. Kepulauan Talaud	Essang
Papua Barat	Kab. Teluk Bintuni	Fafuwar
Papua Barat	Kab. Fak-Fak	FAK-FAK
Papua Barat	Kab. Fak-Fak	Fakfak Barat
Papua Barat	Kab. Fak-Fak	Fakfak Timur
Nusa Tenggara Timur	Kab. Kupang	Fatuleu
Nusa Tenggara Timur	Kab. Kupang	Fatuleu Barat
Nusa Tenggara Timur	Kab. Kupang	Fatuleu Tengah
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Fatumnasi
Papua	Kab. Puncak Jaya	Fawi
Papua	Kab. Asmat	Fayit
Papua Barat	Kab. Sorong	Fef
Jawa Tengah	Kab. Pati	Gabus
Jawa Tengah	Kab. Grobogan	Gabus
Jawa Barat	Kab. Indramayu	Gabus Wetan
Jawa Timur	Kab. Probolinggo	Gading
Bengkulu	Kota Bengkulu	Gading Cempaka
Lampung	Kab. Tanggamus	Gading Rejo
Jawa Timur	Kota Pasuruan	Gadingrejo
Sulawesi Tengah	Kab. Buol	Gadung
Jawa Tengah	Kab. Demak	Gajah
Jawa Tengah	Kota Semarang	Gajahmungkur
Sumatera Utara	Kab. Deli Serdang	Galang
Kepulauan Riau	Kota Batam	Galang
Sulawesi Tengah	Kab. Toli-Toli	Galang
Maluku Utara	Kab. Halmahera Utara	Galela
Sulawesi Selatan	Kab. Takalar	Galesong Selatan
Sulawesi Selatan	Kab. Takalar	Galesong Utara
Kalimantan Barat	Kab. Sambas	Galing
Jawa Timur	Kab. Bangkalan	Galis
Jawa Timur	Kab. Pamekasan	Galis
D.I. Yogyakarta	Kab. Kulon Progo	Galur
DKI Jakarta	Kota Administrasi Jakarta Pusat	Gambir
Jawa Timur	Kab. Banyuwangi	Gambiran
Kalimantan Selatan	Kab. Banjar	Gambut
Papua	Kab. Jayawijaya	Gamelia
Jawa Timur	Kab. Kediri	Gampengrejo
D.I. Yogyakarta	Kab. Sleman	Gamping
Aceh	Kab. Bireuen	Ganda Pura
Sulawesi Selatan	Kab. Tana Toraja	Gandang Batu Silang
Jawa Timur	Kab. Sumenep	Ganding
Jawa Tengah	Kab. Cilacap	Gandrungmangu
Sumatera Selatan	Kota Palembang	Gandus
Jawa Timur	Kab. Blitar	Gandusari
Jawa Timur	Kab. Trenggalek	Gandusari
Maluku Utara	Kab. Halmahera Selatan	Gane Barat
Maluku Utara	Kab. Halmahera Selatan	Gane Timur
Jawa Barat	Kab. Sumedang	Ganeas
Nusa Tenggara Barat	Kab. Lombok Barat	Gangga
Sulawesi Selatan	Kab. Soppeng	Ganra
Jawa Barat	Kab. Indramayu	Gantar
Sulawesi Selatan	Kab. Bulukumba	Gantarang /Gantarangkindang/Ganking
Jawa Tengah	Kab. Klaten	Gantiwarno
Kepulauan Bangka Belitung	Kab. Belitung Timur	Gantung
Jawa Timur	Kab. Sumenep	Gapura
Jawa Barat	Kab. Kuningan	Garawangi
Sumatera Utara	Kab. Tapanuli Utara	Garoga
Jawa Timur	Kab. Blitar	Garum
Jawa Tengah	Kab. Wonosobo	Garung
Jawa Barat	Kab. Garut	Garut Kota
Jawa Barat	Kab. Garut	Garut, Kab. Garut
Jawa Tengah	Kab. Sukoharjo	Gatak
Riau	Kab. Indragiri Hilir	Gaung
Riau	Kab. Indragiri Hilir	Gaung Anak Serka
Jawa Timur	Kab. Sumenep	Gayam
Jawa Tengah	Kota Semarang	Gayamsari
Jawa Timur	Kota Surabaya	Gayungan
Sumatera Utara	Kab. Langkat	Gebang
Jawa Tengah	Kab. Purworejo	Gebang
Jawa Barat	Kab. Cirebon	Gebang
Maluku Utara	Kab. Halmahera Tengah	Gebe
Jawa Tengah	Kab. Kudus	Gebog
Jawa Timur	Kab. Malang	Gedangan
Jawa Timur	Kab. Sidoarjo	Gedangan
D.I. Yogyakarta	Kab. Gunung Kidul	Gedangsari
Jawa Timur	Kab. Mojokerto	Gedeg
Lampung	Kab. Pesawaran	Gedong Tataan
D.I. Yogyakarta	Kota Yogyakarta	Gedongtengen
Lampung	Kab. Tulang Bawang	Gedung Aji
Lampung	Kab. Tulang Bawang	Gedung Meneng
Jawa Timur	Kab. Madiun	Geger
Jawa Timur	Kab. Bangkalan	Geger
Jawa Barat	Kab. Sukabumi	Gegerbitung
Jawa Barat	Kab. Cirebon	Gegesik
Jawa Barat	Kab. Cianjur	Gekbrong
Sumatera Selatan	Kab. Muara Enim	Gelumbang
Jawa Timur	Kab. Madiun	Gemarang
Jawa Tengah	Kab. Temanggung	Gemawang
Jawa Tengah	Kab. Pati	Gembong
Sulawesi Utara	Kab. Kepulauan Talaud	Gemeh
Jawa Tengah	Kab. Sragen	Gemolong
Sumatera Barat	Kab. Pasuruan	Gempol
Jawa Barat	Kab. Cirebon	Gempol
Jawa Tengah	Kab. Kendal	Gemuh
Jawa Timur	Kab. Probolinggo	Gending
Jawa Timur	Kab. Ngawi	Geneng
Jawa Timur	Kota Surabaya	Genteng
Jawa Timur	Kab. Banyuwangi	Genteng
Jawa Tengah	Kota Semarang	Genuk
Banten	Kota Cilegon	Gerogol
Bali	Kab. Buleleng	Gerokgak
Nusa Tenggara Barat	Kab. Lombok Barat	Gerung
Kepulauan Bangka Belitung	Kota Pangkal Pinang	Gerunggang
Jawa Tengah	Kab. Sragen	Gesi
Jawa Tengah	Kab. Semarang	Getasan
Aceh	Kab. Pidie	Geumpang
Jawa Tengah	Kab. Grobogan	Geyer
Bali	Kab. Gianyar	Gianyar
Sumatera Utara	Kab. Nias	Gido
Jawa Timur	Kab. Sumenep	Giligenteng
Sulawesi Selatan	Kab. Wajo	Gilireng
Jawa Timur	Kab. Banyuwangi	Giri
Bengkulu	Kab. Bengkulu Utara	Giri Mulia
Jawa Tengah	Kab. Wonogiri	Girimarto
D.I. Yogyakarta	Kab. Kulon Progo	Girimulyo
D.I. Yogyakarta	Kab. Gunung Kidul	Girisubo
Jawa Tengah	Kab. Wonogiri	Giritontro
Jawa Tengah	Kab. Wonogiri	Giriwoyo
Sumatera Utara	Kab. Simalungun	Girsang Sipangan Bolon
Jawa Timur	Kab. Lamongan	Glagah
Jawa Timur	Kab. Banyuwangi	Glagah
Jawa Timur	Kab. Banyuwangi	Glenmore
Aceh	Kab. Pidie	Gleumpang Baro
Aceh	Kab. Pidie	Glumpang Tiga
D.I. Yogyakarta	Kab. Sleman	Godean
Jawa Tengah	Kab. Grobogan	Godong
Nusa Tenggara Timur	Kab. Ngada	Golewa
Jawa Tengah	Kab. Kebumen	Gombong
Sumatera Utara	Kab. Nias Selatan	Gomo
Jawa Tengah	Kab. Sragen	Gondang
Jawa Timur	Kab. Mojokerto	Gondang
Jawa Tengah	Kab. Bojonegoro	Gondang
Jawa Timur	Kab. Nganjuk	Gondang
Jawa Timur	Kab. Tulungagung	Gondang
Sumatera Barat	Kab. Pasuruan	Gondang Wetan
Jawa Timur	Kab. Malang	Gondanglegi
Jawa Tengah	Kab. Karang Anyar	Gondangrejo
D.I. Yogyakarta	Kota Yogyakarta	Gondokusuman
D.I. Yogyakarta	Kota Yogyakarta	Gondomanan
Gorontalo	Kota Gorontalo	Gorontalo
Jawa Tengah	Kab. Purworejo	Grabag
Jawa Tengah	Kab. Magelang	Grabag
Jawa Timur	Kab. Tuban	Grabagan
Sumatera Barat	Kab. Pasuruan	Grati
Jawa Timur	Kab.Gresik	Gresik
Jawa Tengah	Kab. Batang	Gringsing
Jawa Tengah	Kab. Grobogan	Grobogan
DKI Jakarta	Kota Administrasi Jakarta Barat	Grogol
Jawa Timur	Kab. Kediri	Grogol
Jawa Tengah	Kab. Sukoharjo	Grogol
Aceh	Kab. Pidie	Grong-Grong
Jawa Timur	Kab. Bondowoso	Grujugan
Sulawesi Tenggara	Kab. Buton & Buton Utara	Gu
Jawa Timur	Kota Surabaya	Gubeng
Jawa Tengah	Kab. Grobogan	Gubug
Jawa Timur	Kab. Lumajang	Gucialit
Jawa Timur	Kab. Jombang	Gudo
Sumatera Barat	Kab. Lima Puluh Kota	Guguk
Sumatera Barat	Kota Bukit Tinggi	Guguk Panjang
Jawa Timur	Kab. Sumenep	Guluk-Guluk
Jawa Tengah	Kab. Banyumas	Gumelar
Jawa Timur	Kab. Jember	Gumukmas
Jawa Tengah	Kab. Rembang	Gunem
Jawa Tengah	Kab. Demak	Guntur
Kalimantan Selatan	Kab. Barito Selatan	Gunung Bintang Awai
Jawa Barat	Kab. Sukabumi	Gunung Guruh
Jambi	Kab. Kerinci	Gunung Kerinci
Kepulauan Riau	Kab. Bintan	Gunung Kijang
Lampung	Kab. Way Kanan	Gunung Labuhan
Sumatera Utara	Kab. Simalungun	Gunung Malela
Sumatera Utara	Kab. Simalungun	Gunung Maligas
Sumatera Barat	Kab. Lima Puluh Kota	Gunung Mas
Sumatera Selatan	Kab. Muara Enim	Gunung Megang
Aceh	Kab. Aceh Singkil	Gunung Meriah
Sumatera Utara	Kab. Deli Serdang	Gunung Meriah
Lampung	Kab. Lampung Timur	Gunung Pelindung
Kalimantan Selatan	Kab. Barito Utara	Gunung Purei
Jawa Barat	Kab. Bogor	Gunung Putri
Jawa Barat	Kota Sukabumi	GUNUNG PUYUH
Jambi	Kab. Kerinci	Gunung Raya
Riau	Kab. Kampar	Gunung Sahilan
Nusa Tenggara Barat	Kab. Lombok Barat	Gunung Sari
Jawa Barat	Kab. Bogor	Gunung Sindur
Sumatera Utara	Kab. Dairi	Gunung Sitember
Sumatera Utara	Kab. Nias	Gunung Sitoli
Lampung	Kab. Lampung Tengah	Gunung Sugih
Kalimantan Timur	Kab. Berau	Gunung Tabur
Sumatera Barat	Kab. Solok	Gunung Talang
Jawa Barat	Kab. Tasikmalaya	Gunung Tanjung
Lampung	Kab. Tulang Bawang	Gunung Terang
Kalimantan Selatan	Kab. Barito Utara	Gunung Timang
Riau	Kab. Kuantan Sengingi	Gunung Toar
Sumatera Utara	Kab. Padang Lawas Utara	Gunung Tua
Sumatera Barat	Kab. Pasaman Barat	Gunung Tuleh
Jawa Timur	Kota Surabaya	Gununganyar
Jawa Barat	Kab. Bandung Barat	Gununghalu
Banten	Kab. Lebak	Gunungkencana
Jawa Tengah	Kota Semarang	Gunungpati
Jawa Tengah	Kab. Pati	Gunungwungkal
Jawa Timur	Kab. Kediri	Gurah
Sumatera Utara	Kab. Toba Samosir	Habinsaran
Nusa Tenggara Timur	Kab. Sumba Timur	Haharu
Papua	Kab. Mappi	Haju
Kalimantan Selatan	Kab. Balangan	Halong
Sumatera Utara	Kab. Padang Lawas Utara	Halongonan
Sumatera Utara	Kab. Tapanuli Selatan	Halongonan
Kalimantan Selatan	Kab. Kota Baru	Hampang
Sumatera Utara	Kab. Deli Serdang	Hamparan Perak
Jambi	Kab. Kerinci	Hamparan Rawang
Kalimantan Tengah	Kab. Seruyan	Hanau
Kalimantan Selatan	Kab. Hulu Sungai Tengah	Hantakan
Jawa Barat	Kab. Kuningan	Hantara
Sumatera Utara	Kab. Simalungun	Haranggaol Horisanz
Sumatera Barat	Kab. Lima Puluh Kota	Harau
Sumatera Utara	Kab. Samosir	Harian
Jawa Barat	Kota Cirebon	Harjamukti
Kalimantan Selatan	Kab. Tabalong	Haruai
Kalimantan Selatan	Kab. Hulu Sungai Tengah	Haruyan
Sumatera Utara	Kab. Simalungun	Hatonduhan
Kalimantan Selatan	Kab. Tampin	Hatungun
Jawa Barat	Kab. Indramayu	Haurgeulis
Nusa Tenggara Timur	Kab. Kupang	Hawu Mehara
Sulawesi Selatan	Kab. Bulukumba	Hero Lange-Lange /Heralangelange/Herlang
Sumatera Utara	Kab. Nias Selatan	Hibala
Sumatera Utara	Kab. Nias	Hiliduho
Sumatera Barat	Kab. Solok	Hiliran Gumanti
Sumatera Utara	Kab. Langkat	Hinai
Papua	Kab. Intan Jaya	Hitadipa
Papua	Kab. Paniai	Homeyo
Papua	Kab. Intan Jaya	Homeyo
Papua	Kab. Jayawijaya	Hubikosi
Kalimantan Barat	Kab. Kapuas Hulu	Hulu Gurung
Riau	Kab. Kuantan Sengingi	Hulu Kuantan
Kalimantan Barat	Kab. Ketapang	Hulu Sungai
Sumatera Utara	Kab. Padang Lawas	Huristak
Sumatera Utara	Kab. Tapanuli Selatan	Huristak
Sumatera Utara	Kab. Padang Lawas	Huta Raja Tinggi
Sumatera Utara	Kab. Tapanuli Selatan	Huta Raja Tinggi
Sumatera Utara	Kab. Simalungun	Hutabayu Raja
Nusa Tenggara Barat	Kab. Dompu	Hu'u
Maluku Utara	Kab. Halmahera Barat	Ibu
Jawa Barat	Kab. Bandung	Ibun
Sumatera Utara	Kab. Nias	Idano Gawo
Aceh	Kab. Aceh Timur	Idi Rayeuk
Aceh	Kab. Aceh Timur	Idi Tuning
Sumatera Barat	Kab. Pasaman	II Koto
Sumatera Barat	Kab. Padang Pariaman	II.X.XI.VI Lingkung
Sumatera Barat	Kab. Pasaman	III Nagari
Papua	Kab. Puncak Jaya	Ilaga
Nusa Tenggara Timur	Kab. Lembata	Ile Ape
Nusa Tenggara Timur	Kab. Flores Timur	Ile Boleng
Nusa Tenggara Timur	Kab. Flores Timur	Ile Mandiri
Sumatera Selatan	Kota Palembang	Ilir Barat I
Sumatera Selatan	Kota Palembang	Ilir Barat II
Bengkulu	Kab. Seluma	Ilir Talo
Sumatera Selatan	Kota Palembang	Ilir Timur I
Sumatera Selatan	Kota Palembang	Ilir Timur II
Papua	Kab. Puncak Jaya	Ilu
D.I. Yogyakarta	Kab. Bantul	Imogiri
Papua Barat	Kab. Sorong Selatan	Inanwatan
Jawa Barat	Kota Tasikmalaya	Indihiang
Aceh	Kab. Aceh Timur	Indra Makmur
Aceh	Kab. Pidie	Indrajaya
Sumatera Selatan	Kab. Ogan Ilir	Indralaya
Jawa Barat	Kab. Indramayu	Indramayu
Aceh	Kab. Aceh Besar	Indrapuri
Aceh	Kab. Aceh Besar	Ingin Jaya
Nusa Tenggara Timur	Kab. Timor Tengah Utara	Insana
Nusa Tenggara Timur	Kab. Timor Tengah Utara	Insana Utara
Papua	Kab. Intan Jaya	Intan Jaya
Riau	Kab. Kuantan Sengingi	Inuman
Sumatera Barat	Kab. Agam	IV Angkat Canduang
Sumatera Barat	Kab. Pesisir Selatan	IV Jurai
Sumatera Barat	Kab. Agam	IV Koto
Sumatera Barat	Kab. Padang Pariaman	IV Koto Aur Malintang
Sumatera Barat	Kab. Sijunjung	IV Nagari
Papua	Kab. Pegunungan Bintang	Iwur
Sumatera Barat	Kab. Solok	IX Koto Sungai Lasi
Jawa Timur	Kab. Sidoarjo	Jabon
Jawa Timur	Kab. Malang	Jabung
Lampung	Kab. Lampung Timur	Jabung/Gunung balak
DKI Jakarta	Kota Administrasi Jakarta Selatan	Jagakarsa
Papua	Kab. Merauke	Jagebob
Kalimantan Barat	Kab. Bengkayang	Jagoi Babang
Aceh	Kab. Aceh Tengah	Jagong Jeget
Maluku Utara	Kab. Halmahera Barat	Jailolo
Maluku Utara	Kab. Halmahera Barat	Jailolo Selatan
Papua	Kab. Boven Digoel	Jair
DKI Jakarta	DKI Jakarta	Jakarta
DKI Jakarta	Kota Administrasi Jakarta Barat	Jakarta Barat
DKI Jakarta	Kota Administrasi Jakarta Pusat	Jakarta Pusat
DKI Jakarta	Kota Administrasi Jakarta Selatan	Jakarta Selatan
DKI Jakarta	Kota Administrasi Jakarta Timur	Jakarta Timur
DKI Jakarta	Kota Administrasi Jakarta Utara	Jakarta Utara
Jawa Tengah	Kab. Pati	Jaken
Jawa Tengah	Kab. Pati	Jakenan
Jawa Barat	Kab. Kuningan	Jalaksana
Jawa Barat	Kab. Subang	Jalan Cagak
Jawa Barat	Kab. Tasikmalaya	Jamanis
Jawa Timur	Kota Surabaya	Jambangan
Banten	Kab. Tangerang	Jambe
Jambi	Kota Jambi	Jambi
Jambi	Kab. Muaro Jambi	Jambi Luar Kota
Jambi	Kota Jambi	Jambi Selatan
Jambi	Kota Jambi	Jambi Timur
Jawa Timur	Kab. Ponorogo	Jambon
Jawa Tengah	Kab. Semarang	Jambu
Jawa Barat	Kab. Sukabumi	Jampang Kulon
Jawa Barat	Kab. Sukabumi	Jampang Tengah
Nusa Tenggara Barat	Kab. Lombok Tengah	Janapria
Aceh	Kab. Bireuen	Jangka
Aceh	Kab. Pidie Jaya	Jangka Buya
Kalimantan Barat	Kab. Sanggau	Jangkang
Jawa Timur	Kab Situbondo	Jangkar
Jambi	Kab. Merangin	Jangkat
Aceh	Kab. Aceh Besar	Janto
Jawa Tengah	Kab. Blora	Japah
Jawa Barat	Kab. Kuningan	Japara
Sumatera Selatan	Kab. Lahat	Jarai
Kalimantan Selatan	Kab. Tabalong	Jaro
Jawa Barat	Kab. Bogor	Jasinga
Jawa Tengah	Kab. Karang Anyar	Jaten
Jawa Tengah	Kab. Kudus	Jati
Jawa Tengah	Kab. Blora	Jati
Lampung	Kab. Lampung Selatan	Jati Agung
Jawa Barat	Kota Bekasi	Jatiasih
Jawa Timur	Kab Situbondo	Jatibanteng
Jawa Barat	Kab. Indramayu	Jatibarang
Jawa Tengah	Kab. Brebes	Jatibarang
Jawa Barat	Kab. Sumedang	Jatigede
Jawa Timur	Kab. Nganjuk	Jatikalen
Jawa Tengah	Kab. Banyumas	Jatilawang
Jawa Barat	Kab. Purwakarta	Jatiluhur
Jawa Barat	Kab.Ciamis	Jatinagara
Jawa Barat	Kab. Sumedang	Jatinangor
Jawa Tengah	Kab. Tegal	Jatinegara
DKI Jakarta	Kota Administrasi Jakarta Timur	Jatinegara
Jawa Tengah	Kab. Klaten	Jatinom
Jawa Barat	Kab. Sumedang	Jatinunggal
Jawa Tengah	Kab. Wonogiri	Jatipurno
Jawa Tengah	Kab. Karang Anyar	Jatipuro
Jawa Timur	Kab. Mojokerto	Jatirejo
Jawa Timur	Kab. Tuban	Jatirogo
Jawa Timur	Kab. Lumajang	Jatiroto
Jawa Tengah	Kab. Wonogiri	Jatiroto
Jawa Barat	Kota Bekasi	Jatisampurna
Jawa Barat	Kab. Karawang	Jatisari
Jawa Tengah	Kab. Wonogiri	Jatisrono
Jawa Barat	Kab. Majalengka	Jatitujuh
Banten	Kota Tangerang	Jatiuwung
Jawa Barat	Kab. Majalengka	Jatiwangi
Jawa Barat	Kab. Tasikmalaya	Jatiwaras
Jawa Tengah	Kab. Karang Anyar	Jatiyoso
Sumatera Utara	Kab. Simalungun	Jawa Maraja Bah Jambi
Kalimantan Barat	Kab. Sambas	Jawai
Kalimantan Barat	Kab. Sambas	Jawai Selatan
Banten	Kab. Serang	Jawilan
Aceh	Kab. Aceh Jaya	Jaya
Aceh	Kota Banda Aceh	Jaya Baru
Jawa Barat	Kab. Karawang	Jayakerta
Sumatera Selatan	Kab. Musi Rawas	Jayaloka
Banten	Kab. Tangerang	Jayanti
Papua	Kota Jayapura	Jayapura
Papua	Kota Jayapura	Jayapura Selatan
Papua	Kota Jayapura	Jayapura Utara
Jawa Tengah	Kota Surakarta	Jebres
Kepulauan Bangka Belitung	Kab. Bangka Barat	Jebus
Sumatera Selatan	Kab. Ogan Komering Ilir	Jejawi
Kalimantan Tengah	Kota Palangkaraya	Jekan Raya
Jawa Tengah	Kab. Kudus	Jekulo
Kalimantan Tengah	Kab. Sukamara	Jelai
Kalimantan Barat	Kab. Ketapang	Jelai Hulu
Jawa Timur	Kab. Jember	Jelbuk
Jambi	Kota Jambi	Jelutung
Kepulauan Riau	Kab. Natuna	Jemaja
Kepulauan Riau	Kab. Natuna	Jemaja Timur
Jawa Timur	Kab. Jember	Jember
Kalimantan Timur	Kab. Kutai Barat	Jempang
Kalimantan Selatan	Kab. Barito Selatan	Jenamas
Jawa Timur	Kab. Ponorogo	Jenangan
Jawa Tengah	Kab. Sragen	Jenar
Jawa Tengah	Kab. Karang Anyar	Jenawi
Sulawesi Selatan	Kab. Jeneponto	Jeneponto
Jawa Timur	Kab. Jember	Jenggawah
Jawa Timur	Kab. Tuban	Jenu
Jawa Tengah	Kab. Jepara	Jepara
Jawa Tengah	Kab. Blora	Jepon
Nusa Tenggara Timur	Kab. Ngada	Jere Buu
Nusa Tenggara Barat	Kab. Sumbawa Barat	Jereweh
Nusa Tenggara Barat	Kab. Lombok Timur	Jerowaru
Jawa Tengah	Kab. Cilacap	Jeruklegi
D.I. Yogyakarta	Kota Yogyakarta	Jetis
D.I. Yogyakarta	Kab. Bantul	Jetis
Jawa Timur	Kab. Ponorogo	Jetis
Jawa Timur	Kab. Mojokerto	Jetis
Aceh	Kab. Bireuen	Jeumpa
Aceh	Kab. Bireuen	Jeunieb
Jawa Tengah	Kab. Blora	Jiken
Papua	Kab. Mimika	Jila
Bali	Kab. Badung	Jimbaran
Banten	Kab. Pandeglang	Jiput
Papua	Kab. Mimika	Jita
Jawa Timur	Kab. Madiun	Jiwan
Jawa Tengah	Kab. Klaten	Jogonalan
Jawa Timur	Kab. Ngawi	Jogorogo
Jawa Timur	Kab. Jombang	Jogoroto
Aceh	Kab. Aceh Barat	Johan Pahlawan
DKI Jakarta	Kota Administrasi Jakarta Pusat	Johar Baru
Jawa Timur	Kab. Jombang	Jombang
Banten	Kota Cilegon	Jombang
Jawa Timur	Kab. Jember	Jombang
Nusa Tenggara Barat	Kab. Lombok Tengah	Jonggat
Jawa Barat	Kab. Bogor	Jonggol
Sumatera Utara	Kab. Simalungun	Jorlang Hataran
Kalimantan Selatan	Kab. Tanah Laut	Jorong
Jawa Timur	Kab. Sampang	Jrengik
Kalimantan Selatan	Kab. Balangan	Juai
Sumatera Utara	Kab. Karo	Juhar
Jambi	Kab. Bungo	Jujuhan
Aceh	Kab. Bireuen	Juli
Aceh	Kab. Aceh Timur	Julok
Jawa Tengah	Kab. Karang Anyar	Jumantono
Jawa Tengah	Kab. Karang Anyar	Jumapolo
Jawa Tengah	Kab. Temanggung	Jumo
Sumatera Barat	Kab. Solok	Junjung Sirih
Jawa Timur	Kota Batu	Junrejo
Jawa Barat	Kab. Indramayu	Juntiyuat
Jawa Tengah	Kab. Pati	Juwana
Jawa Tengah	Kab. Boyolali	Juwangi
Jawa Tengah	Kab. Klaten	Juwiring
Sulawesi Tenggara	Kab. Bombana	Kabaena
Sulawesi Tenggara	Kab. Bombana	Kabaena Timur
Jawa Barat	Kab. Sukabumi	Kabandungan
Sulawesi Tenggara	Kab. Muna	Kabangka
Sumatera Utara	Kab. Karo	Kabanjahe
Sulawesi Utara	Kab. Kepulauan Talaud	Kabaruan
Jawa Timur	Kab. Banyuwangi	Kabat
Sulawesi Tenggara	Kab. Muna	Kabawo
Gorontalo	Kota Bone Bolango	Kabila
Jawa Timur	Kab. Jombang	Kabuh
Riau	Kab. Rokan Hulu	Kabun
Sulawesi Tenggara	Kab. Buton & Buton Utara	Kadatua
Jawa Timur	Kab. Blitar	Kademangan
Jawa Timur	Kota Probolinggo	Kademangan
Jawa Barat	Kab. Majalengka	Kadipaten
Jawa Barat	Kab. Tasikmalaya	Kadipaten
Jawa Barat	Kab. Sukabumi	Kadudampit
Jawa Barat	Kab. Kuningan	Kadugede
Banten	Kab. Pandeglang	Kaduhejo
Jawa Barat	Kab. Garut	Kadungora
Jawa Barat	Kab. Cianjur	Kadupandak
Jawa Timur	Kab. Pamekasan	Kadur
Nusa Tenggara Timur	Kab. Sumba Timur	Kahaungu Eti
Kalimantan Tengah	Kab. Pulang Pisau	Kahayan Hilir
Kalimantan Tengah	Kab. Gunung Mas	Kahayan Hulu Utara
Kalimantan Tengah	Kab. Pulang Pisau	Kahayan Kuala
Kalimantan Tengah	Kab. Pulang Pisau	Kahayan Tengah
Sulawesi Selatan	Kab. Bone	Kahu
Sulawesi Utara	Kab. Bolaang Mongondow	Kaidipang
